site_id,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,apprEndDat,lionversion,segment_count,mapped_length_source_units,weekly_approved_hours,approved_days_per_week,invalid_time_windows,geometry_wkt
OS075,The Nightingale Bamford School,EAST 92 STREET,Manhattan,5 AVENUE,MADISON AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,,,,,09/05/2024,06/27/2025,23C,1,507.821982814,27.5,5,0,"LINESTRING (-73.957636 40.785343, -73.956031 40.78467)"
OS076,PS 290 The Manhattan New School,EAST 82 STREET,Manhattan,2 AVENUE,1 AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,,,,,09/05/2024,06/27/2025,23C,1,749.529938613,35.0,5,0,"LINESTRING (-73.953628 40.775291, -73.951262 40.774292)"
OS077,Lenape Bloemendael DMA dba Columbus Amsterdam Business Improvement District,AMSTERDAM AVENUE,Manhattan,WEST 106 STREET,CATHEDRAL PARKWAY,"sat,sun",approvedFull,,,,,,,,,,,11:00,19:00,12:00,18:00,04/20/2024,11/10/2024,23C,4,1056.006710254,14.0,2,0,"MULTILINESTRING ((-73.965215 40.801111, -73.964759 40.801742), (-73.964759 40.801742, -73.964301 40.802373), (-73.964301 40.802373, -73.963861 40.802972), (-73.965711 40.800437, -73.965436 40.800812), (-73.965436 40.800812, -73.965405 40.800855), (-73.965405 40.800855, -73.965215 40.801111))"
OS078,Frederick Douglass Boulevard Alliance,FREDERICK DOUGLASS BOULEVARD,Manhattan,WEST 112 STREET,WEST 121 STREET,"sat,sun",approvedFull,,,,,,,,,,,12:00,22:00,12:01,21:00,06/15/2024,10/06/2024,23C,9,2396.456385112,18.983333333333334,2,0,"MULTILINESTRING ((-73.957237 40.801858, -73.956778 40.802487), (-73.956778 40.802487, -73.956321 40.803115), (-73.956321 40.803115, -73.955863 40.803744), (-73.955863 40.803744, -73.955368 40.80442), (-73.955368 40.80442, -73.954875 40.805097), (-73.954875 40.805097, -73.954416 40.805725), (-73.954416 40.805725, -73.953957 40.806353), (-73.953957 40.806353, -73.9535 40.806981), (-73.9535 40.806981, -73.95304 40.807611))"
OS079,Harlem Mothers Stop Another Violent End,WEST 128 STREET,Manhattan,FREDERICK DOUGLASS BOULEVARD,ST NICHOLAS AVENUE,"tue,wed",approvedFull,,,09:30,17:00,09:30,17:00,,,,,,,,,07/02/2024,08/30/2024,23C,1,366.82249151,15.0,2,0,"LINESTRING (-73.949758 40.812104, -73.950929 40.812575)"
OS080,Harlem One Stop Inc,WEST 142 STREET,Manhattan,AMSTERDAM AVENUE,HAMILTON PLACE,sat,approvedFull,,,,,,,,,,,11:00,18:30,,,06/22/2024,08/31/2024,23C,1,217.521338996,7.5,1,0,"LINESTRING (-73.949006 40.823314, -73.949693 40.823604)"
OS081,Riverdale Avenue Community School,STRAUSS STREET,Brooklyn,RIVERDALE AVENUE,NEWPORT STREET,fri,approvedFullSchools,,,,,,,,,07:30,16:30,,,,,09/05/2024,06/27/2025,23C,1,570.216026575,9.0,1,0,"LINESTRING (-73.914131 40.660181, -73.913736 40.658645)"
OS082,The 700 Jefferson Avenue Block Association,JEFFERSON AVENUE,Brooklyn,MALCOLM X BOULEVARD,PATCHEN AVENUE,"fri,sat,sun",approvedFull,,,,,,,,,12:00,21:00,12:00,21:00,12:00,21:00,01/13/2024,12/31/2024,23C,1,817.573551544,27.0,3,0,"LINESTRING (-73.929591 40.685635, -73.926676 40.685971)"
OS083,NYC Department of Health and Mental Hygiene,BRISTOL STREET,Brooklyn,DUMONT AVENUE,BLAKE AVENUE,fri,approvedLimited,,,,,,,,,14:00,16:00,,,,,04/22/2024,09/23/2024,23C,1,570.047596659,2.0,1,0,"LINESTRING (-73.911559 40.66535, -73.911166 40.663814)"
OS084,Justice Innovation Inc. d/b/a Center for Justice Innovation (Brownsville Community Justice Center),THATFORD AVENUE,Brooklyn,BELMONT AVENUE,DEAD END,"mon,tue,wed,thu,fri",approvedFull,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,,,,,03/18/2024,12/18/2024,23C,1,128.64205526,30.0,5,0,"LINESTRING (-73.909475 40.668561, -73.909391 40.668213)"
