"Object ID","Organization Name","Approved On Street","Borough Name","Approved From Street","Approved To Street","apprDaysWe","Status Type","Approved Monday Open","Approved Monday Close","Approved Tuesday Open","Approved Tuesday Close","Approved Wednesday Open","Approved Wednesday Close","Approved Thursday Open","Approved Thursday Close","Approved Friday Open","Approved Friday Close","Approved Saturday Open","Approved Saturday Close","Approved Sunday Open","Approved Sunday Close","apprStartD","apprEndDat","Shape_STLe","segmentidt","segmentidf","lionversion","The_Geom"
"185","Frederick Douglass Boulevard Alliance","FREDERICK DOUGLASS BOULEVARD","Manhattan","WEST 112 STREET","WEST 121 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","22:00","12:01","21:00","06/15/2024","10/06/2024","281.54879238","0038475","0038475","23C","MULTILINESTRING ((-73.95586271530266 40.80374449523976, -73.95536845698138 40.80441986536616))"
"186","Frederick Douglass Boulevard Alliance","FREDERICK DOUGLASS BOULEVARD","Manhattan","WEST 112 STREET","WEST 121 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","22:00","12:01","21:00","06/15/2024","10/06/2024","282.031428639","0038477","0038477","23C","MULTILINESTRING ((-73.95536845698138 40.80441986536616, -73.95487450985411 40.80509688403995))"
"187","Frederick Douglass Boulevard Alliance","FREDERICK DOUGLASS BOULEVARD","Manhattan","WEST 112 STREET","WEST 121 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","22:00","12:01","21:00","06/15/2024","10/06/2024","261.742485949","0038479","0038479","23C","MULTILINESTRING ((-73.95487450985411 40.80509688403995, -73.95441604415457 40.80572517868592))"
"188","Frederick Douglass Boulevard Alliance","FREDERICK DOUGLASS BOULEVARD","Manhattan","WEST 112 STREET","WEST 121 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","22:00","12:01","21:00","06/15/2024","10/06/2024","261.788118269","0038481","0038481","23C","MULTILINESTRING ((-73.95441604415457 40.80572517868592, -73.95395687069113 40.806353319882284))"
"189","Frederick Douglass Boulevard Alliance","FREDERICK DOUGLASS BOULEVARD","Manhattan","WEST 112 STREET","WEST 121 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","22:00","12:01","21:00","06/15/2024","10/06/2024","261.464738586","0038495","0038495","23C","MULTILINESTRING ((-73.95395687069113 40.806353319882284, -73.95349969153126 40.8069812879991))"
"190","Frederick Douglass Boulevard Alliance","FREDERICK DOUGLASS BOULEVARD","Manhattan","WEST 112 STREET","WEST 121 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","22:00","12:01","21:00","06/15/2024","10/06/2024","262.203485539","0038605","0038605","23C","MULTILINESTRING ((-73.95349969153126 40.8069812879991, -73.95304020364024 40.80761060404983))"
"191","Harlem Mothers Stop Another Violent End","WEST 128 STREET","Manhattan","FREDERICK DOUGLASS BOULEVARD","ST NICHOLAS AVENUE","tue,wed","approvedFull",,,"09:30","17:00","09:30","17:00",,,,,,,,,"07/02/2024","08/30/2024","366.82249151","0038742","0038742","23C","MULTILINESTRING ((-73.9497577708401 40.81210359623715, -73.95092865718738 40.81257507154871))"
"192","Harlem One Stop Inc","WEST 142 STREET","Manhattan","AMSTERDAM AVENUE","HAMILTON PLACE","sat","approvedFull",,,,,,,,,,,"11:00","18:30",,,"06/22/2024","08/31/2024","217.521338996","0038790","0038790","23C","MULTILINESTRING ((-73.94900611385265 40.82331426967713, -73.94969330201722 40.823604000802945))"
"193","Riverdale Avenue Community School","STRAUSS STREET","Brooklyn","RIVERDALE AVENUE","NEWPORT STREET","fri","approvedFullSchools",,,,,,,,,"07:30","16:30",,,,,"09/05/2024","06/27/2025","570.216026575","0042789","0042789","23C","MULTILINESTRING ((-73.91413057983934 40.66018143957461, -73.91373611748729 40.658645420771))"
"194","The 700 Jefferson Avenue Block Association","JEFFERSON AVENUE","Brooklyn","MALCOLM X BOULEVARD","PATCHEN AVENUE","fri,sat,sun","approvedFull",,,,,,,,,"12:00","21:00","12:00","21:00","12:00","21:00","01/13/2024","12/31/2024","817.573551544","0043331","0043331","23C","MULTILINESTRING ((-73.92959057545474 40.685635048797245, -73.92667582495696 40.68597069605679))"
"195","NYC Department of Health and Mental Hygiene","BRISTOL STREET","Brooklyn","DUMONT AVENUE","BLAKE AVENUE","fri","approvedLimited",,,,,,,,,"14:00","16:00",,,,,"04/22/2024","09/23/2024","570.047596659","0043841","0043841","23C","MULTILINESTRING ((-73.91155871838961 40.66535035660432, -73.91116635398302 40.66381449359967))"
"196","Justice Innovation Inc. d/b/a Center for Justice Innovation (Brownsville Community Justice Center)","THATFORD AVENUE","Brooklyn","BELMONT AVENUE","DEAD END","mon,tue,wed,thu,fri","approvedFull","11:00","17:00","11:00","17:00","11:00","17:00","11:00","17:00","11:00","17:00",,,,,"03/18/2024","12/18/2024","128.64205526","0044000","0044000","23C","MULTILINESTRING ((-73.90947503847897 40.6685605980344, -73.90939058333187 40.66821340961263))"
"197","Justice Innovation Inc. d/b/a Center for Justice Innovation (Brownsville Community Justice Center)","WATKINS STREET","Brooklyn","BELMONT AVENUE","DEAD END","mon,tue,wed,thu,fri","approvedFull","11:00","17:00","11:00","17:00","11:00","17:00","11:00","17:00","11:00","17:00",,,,,"03/18/2024","12/18/2024","128.626728207","0044007","0044007","23C","MULTILINESTRING ((-73.90763826491444 40.66883142709046, -73.90754834211101 40.668485078514884))"
"198","Sharon Street Block Association","SHARON STREET","Brooklyn","OLIVE STREET","MORGAN AVENUE","mon,tue,wed,thu,fri,sat,sun","approvedLimited","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","02/01/2024","12/31/2024","855.752080229","0044360","0044360","23C","MULTILINESTRING ((-73.93869574855565 40.71532359170306, -73.93561374082381 40.715190930002485))"
"199","Troutman Street Open Street Coalition","TROUTMAN STREET","Brooklyn","IRVING AVENUE","ST NICHOLAS AVENUE","sat,sun","approvedFull",,,,,,,,,,,"10:00","22:00","10:00","22:00","04/22/2024","10/31/2024","796.768759513","0044899","0044899","23C","MULTILINESTRING ((-73.92458598687635 40.70482504099606, -73.92286348621984 40.706575593983075))"
