site_id,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,apprEndDat,lionversion,segment_count,mapped_length_source_units,program_type,weekly_approved_hours,approved_days_per_week,invalid_time_records,approved_start_date,approved_end_date,listed_period_days,approved_open_days_over_period,total_approved_hours,total_hours_flag,geometry_wkt
OS025,Cervo's,CANAL STREET,Manhattan,ESSEX STREET,ORCHARD STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,04/01/2024,11/29/2024,23C,2,496.65106996500003,Full Closure,56.0,7,0,2024-04-01,2024-11-29,243,243,1944.0,ok,"MULTILINESTRING ((-73.991133 40.714669, -73.99189 40.714899), (-73.99022 40.714405, -73.990755 40.714554), (-73.990755 40.714554, -73.991133 40.714669))"
OS026,Atlantic Avenue BID,HOYT STREET,Brooklyn,ATLANTIC AVENUE,STATE STREET,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:00,12:00,23:00,12:00,23:00,04/06/2024,11/03/2024,23C,1,260.548044131,Full Closure,29.0,3,0,2024-04-06,2024-11-03,212,92,892.0,ok,"LINESTRING (-73.986568 40.688408, -73.987 40.687773)"
OS027,Downtown Brooklyn Partnership,WILLOUGHBY STREET,Brooklyn,PEARL STREET,JAY STREET,"mon,tue,wed,thu,fri",approvedFull,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,,,,,01/02/2024,12/31/2024,23C,1,246.472028027,Full Closure,50.0,5,0,2024-01-02,2024-12-31,365,261,2610.0,ok,"LINESTRING (-73.988186 40.692277, -73.987299 40.692234)"
OS028,Downtown Brooklyn Partnership,PEARL STREET,Brooklyn,FULTON STREET,DEAD END,"mon,tue,wed,thu,fri",approvedFull,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,,,,,01/02/2024,12/31/2024,23C,2,549.588557325,Full Closure,50.0,5,0,2024-01-02,2024-12-31,365,261,2610.0,ok,"MULTILINESTRING ((-73.988148 40.693311, -73.988186 40.692277), (-73.988226 40.691849, -73.98821 40.691806), (-73.988186 40.692277, -73.988226 40.691849))"
OS029,Dumbo Business Improvement District,WASHINGTON STREET,Brooklyn,FRONT STREET,WATER STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,10:00,21:00,04/01/2024,12/31/2024,23C,1,246.748284732,Full Closure,71.0,7,0,2024-04-01,2024-12-31,275,275,2789.0,ok,"LINESTRING (-73.989583 40.7032, -73.989623 40.702523)"
OS030,Office Ho Jonot,JEFFERSON STREET,Manhattan,EAST BROADWAY,HENRY STREET,"thu,fri,sat,sun",approvedFull,,,,,,,15:00,21:00,15:00,22:00,10:00,22:00,10:00,21:00,03/01/2024,11/30/2024,23C,1,247.41273405,Full Closure,36.0,4,0,2024-03-01,2024-11-30,275,158,1423.0,ok,"LINESTRING (-73.988702 40.714186, -73.9886 40.713511)"
OS031,Brooklyn RISE Charter School,HANOVER PLACE,Brooklyn,FULTON STREET,LIVINGSTON STREET,"mon,tue,wed,thu,fri",approvedFullSchools,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,,,,,08/21/2024,06/27/2025,23C,2,369.668171109,Full Closure: Schools,50.0,5,0,2024-08-21,2025-06-27,311,223,2230.0,ok,"MULTILINESTRING ((-73.982416 40.688896, -73.982715 40.688459), (-73.982097 40.689358, -73.982416 40.688896))"
OS032,PS 152,EAST 23 STREET,Brooklyn,CAMPUS ROAD,GLENWOOD ROAD,"mon,tue,wed,thu,fri",approvedFullSchools,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,04/19/2024,06/27/2025,23C,1,469.449623053,Full Closure: Schools,40.0,5,0,2024-04-19,2025-06-27,435,311,2488.0,ok,"LINESTRING (-73.95486 40.633219, -73.954619 40.631944)"
OS033,Flatbush Development Corporation,NEWKIRK AVENUE,Brooklyn,EAST 17 STREET,CONEY ISLAND AVENUE,sun,approvedFull,,,,,,,,,,,,,11:00,20:00,05/19/2024,07/15/2024,23C,6,1833.2353211650002,Full Closure,9.0,1,0,2024-05-19,2024-07-15,58,9,81.0,ok,"MULTILINESTRING ((-73.967185 40.633704, -73.965951 40.634266), (-73.965951 40.634266, -73.965083 40.634684), (-73.965083 40.634684, -73.964216 40.6351), (-73.962481 40.635933, -73.961583 40.636368), (-73.963349 40.635518, -73.963088 40.635643), (-73.962775 40.635793, -73.962481 40.635933), (-73.963088 40.635643, -73.962855 40.635754), (-73.962855 40.635754, -73.962775 40.635793), (-73.964216 40.6351, -73.964116 40.635148), (-73.964116 40.635148, -73.963349 40.635518))"
OS034,GrowHouse Community Design + Development Group,MARTENSE STREET,Brooklyn,BEDFORD AVENUE,FLATBUSH AVENUE,sat,approvedFull,,,,,,,,,,,12:00,22:00,,,07/20/2024,08/10/2024,23C,2,839.560986231,Full Closure,10.0,1,0,2024-07-20,2024-08-10,22,4,40.0,ok,"MULTILINESTRING ((-73.958925 40.651212, -73.958013 40.651261), (-73.958013 40.651261, -73.955907 40.651369))"
OS035,Saint Saviour Catholic Academy,7 STREET,Brooklyn,8 AVENUE,PROSPECT PARK WEST,"mon,tue,wed,thu,fri",approvedFullSchools,11:45,13:30,11:45,13:30,11:45,13:30,11:45,13:30,11:45,13:30,,,,,09/05/2024,06/27/2025,23C,1,781.939686996,Full Closure: Schools,8.75,5,0,2024-09-05,2025-06-27,296,212,371.0,ok,"LINESTRING (-73.978213 40.666963, -73.975831 40.665815)"
OS036,Polhemus Place Block Association,POLHEMUS PLACE,Brooklyn,CARROLL STREET,GARFIELD PLACE,sat,approvedLimited,,,,,,,,,,,10:30,16:30,,,03/09/2024,11/16/2024,23C,1,404.607973319,Limited Local Access,6.0,1,0,2024-03-09,2024-11-16,253,37,222.0,ok,"LINESTRING (-73.975477 40.672869, -73.976263 40.671934)"
OS037,Prospect Heights Neighborhood Development Council,VANDERBILT AVENUE,Brooklyn,ATLANTIC AVENUE,PARK PLACE,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:00,11:00,23:00,11:00,18:00,05/03/2024,09/29/2024,23C,6,1849.264614392,Full Closure,26.0,3,0,2024-05-03,2024-09-29,150,66,572.0,ok,"MULTILINESTRING ((-73.968859 40.677665, -73.969178 40.676785), (-73.968542 40.678543, -73.968859 40.677665), (-73.968227 40.679419, -73.968542 40.678543), (-73.967954 40.680189, -73.968227 40.679419), (-73.967678 40.680955, -73.967954 40.680189), (-73.967478 40.681586, -73.967678 40.680955), (-73.967507 40.681687, -73.967478 40.681586))"
OS038,Prospect Place Block Association 2.0,PROSPECT PLACE,Brooklyn,CLASSON AVENUE,GRAND AVENUE,sat,approvedFull,,,,,,,,,,,08:00,20:00,,,07/06/2024,07/27/2024,23C,1,893.531993868,Full Closure,12.0,1,0,2024-07-06,2024-07-27,22,4,48.0,ok,"LINESTRING (-73.962864 40.676405, -73.959758 40.675756)"
OS039,"Bedford Stuyvesant Gateway District Management Association, Inc.",MARCY AVENUE,Brooklyn,FULTON STREET,MAC DONOUGH STREET,"thu,fri,sat",approvedFull,,,,,,,10:00,19:00,10:00,19:00,10:00,19:00,,,11/30/2024,12/22/2024,23C,1,184.182235667,Full Closure,27.0,3,0,2024-11-30,2024-12-22,23,10,90.0,ok,"LINESTRING (-73.946287 40.680719, -73.946275 40.680213)"
OS040,Bridge Street Development Corporation,TOMPKINS AVENUE,Brooklyn,GATES AVENUE,HALSEY STREET,sun,approvedFull,,,,,,,,,,,,,11:00,20:00,06/02/2024,10/27/2024,23C,6,1620.222127431,Full Closure,9.0,1,0,2024-06-02,2024-10-27,148,22,198.0,ok,"MULTILINESTRING ((-73.944183 40.684706, -73.944037 40.683972), (-73.943891 40.683239, -73.943745 40.682508), (-73.944328 40.685438, -73.944183 40.684706), (-73.944475 40.686171, -73.944328 40.685438), (-73.944621 40.686904, -73.944475 40.686171), (-73.94396 40.683585, -73.943891 40.683239), (-73.944037 40.683972, -73.94396 40.683585))"
OS041,NYC Department of Transportation,WILLOUGHBY AVENUE,Brooklyn,WASHINGTON PARK,WASHINGTON AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,01/10/2024,12/31/2024,23C,7,1940.820655346,Limited Local Access,84.0,7,0,2024-01-10,2024-12-31,357,357,4284.0,ok,"MULTILINESTRING ((-73.97354 40.691708, -73.972553 40.691679), (-73.972553 40.691679, -73.97156 40.691641), (-73.97156 40.691641, -73.970549 40.691602), (-73.970549 40.691602, -73.969521 40.691564), (-73.969521 40.691564, -73.968493 40.691545), (-73.968493 40.691545, -73.967531 40.691644), (-73.967531 40.691644, -73.966566 40.691756))"
OS042,Hall Street Block Association,HALL STREET,Brooklyn,PARK AVENUE,MYRTLE AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,03/01/2024,02/28/2025,23C,1,821.236968575,Limited Local Access,77.0,7,0,2024-03-01,2025-02-28,365,365,4015.0,ok,"LINESTRING (-73.966359 40.695661, -73.965905 40.693433)"
