cell_index,cell_id,borough,nta_id,nta_name,housing_units,median_gross_rent_usd,margin_of_error_usd,rent_percentile,bar_height_m,source_level,primary_source_level,dominant_source_geoid,source_geography_count,source_unit_coverage_share,lower_bound_90_usd,upper_bound_90_usd
5603,892a10760cfffff,Brooklyn,BK1702,East Flatbush-Farragut,117,1833.0,9.0,0.4139,1000.9,borough,borough,36047,1,1.0,1824.0,1842.0
5604,892a10760d3ffff,Brooklyn,BK1703,East Flatbush-Rugby,508,1946.0,149.2,0.5221,1277.2,block_group,block_group,360470946003,3,1.0,1796.8,2095.2
5605,892a10760d7ffff,Brooklyn,BK1801,Flatlands,12,2144.0,226.0,0.7122,1758.8,block_group,block_group,360470944011,1,1.0,1918.0,2370.0
5606,892a10760dbffff,Brooklyn,BK1702,East Flatbush-Farragut,391,1585.9,397.4,0.1891,475.2,block_group,block_group,360470846001,4,1.0,1188.5,1983.3
5607,892a1076103ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,92,2314.0,413.0,0.8235,2073.2,tract,tract,36047070201,1,1.0,1901.0,2727.0
5608,892a1076107ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,107,2344.5,715.1,0.8371,2119.6,mixed,block_group,360470702012,2,1.0,1629.4,3059.6
5609,892a107610bffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,78,2246.1,178.8,0.7877,1966.1,mixed,block_group,360470698002,2,1.0,2067.3,2424.9
5610,892a107610fffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,221,2339.8,622.2,0.8356,2115.6,mixed,block_group,360470702012,2,1.0,1717.6,2962.0
5611,892a1076113ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,273,1879.3,544.9,0.459,1117.5,block_group,block_group,360470706012,2,1.0,1334.4,2424.2
5612,892a1076117ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,225,1787.0,113.0,0.3651,883.1,block_group,block_group,360470706012,1,1.0,1674.0,1900.0
5613,892a107611bffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,308,1904.6,195.7,0.483,1180.1,mixed,tract,36047069602,5,1.0,1708.9,2100.3
