date,borough,medianAskingRent,rentalInventory
2022-12,Manhattan,4160,12467
2022-12,Brooklyn,3100,8327
2022-12,Queens,2600,3594
2022-12,Bronx,2250,928
2022-12,Staten Island,1950,85
2023-01,Manhattan,4200,13903
2023-01,Brooklyn,3200,9249
2023-01,Queens,2600,4144
2023-01,Bronx,2250,955
2023-01,Staten Island,2095,92
2023-02,Manhattan,4300,12921
2023-02,Brooklyn,3199,8826
2023-02,Queens,2600,3811
2023-02,Bronx,2387,943
2023-02,Staten Island,2175,91
2023-03,Manhattan,4250,14587
2023-03,Brooklyn,3200,9928
2023-03,Queens,2650,4161
2023-03,Bronx,2300,1045
2023-03,Staten Island,2200,102
2023-04,Manhattan,4390,15158
2023-04,Brooklyn,3300,9001
2023-04,Queens,2700,3667
2023-04,Bronx,2495,892
2023-04,Staten Island,2200,83
2023-05,Manhattan,4395,17792
2023-05,Brooklyn,3400,10666
2023-05,Queens,2800,3891
2023-05,Bronx,2500,983
2023-05,Staten Island,2100,66
2023-06,Manhattan,4395,19229
2023-06,Brooklyn,3400,11661
2023-06,Queens,2850,4009
2023-06,Bronx,2599,893
2023-06,Staten Island,2000,80
2023-07,Manhattan,4375,20104
2023-07,Brooklyn,3500,12075
2023-07,Queens,2900,4332
2023-07,Bronx,2576,885
2023-07,Staten Island,1899,60
2023-08,Manhattan,4300,20460
2023-08,Brooklyn,3500,12465
2023-08,Queens,2900,4360
2023-08,Bronx,2595,1056
2023-08,Staten Island,2000,84
2023-09,Manhattan,4340,17733
2023-09,Brooklyn,3500,10678
2023-09,Queens,2950,3938
2023-09,Bronx,2650,934
2023-09,Staten Island,2075,61
2023-10,Manhattan,4200,17344
2023-10,Brooklyn,3400,10710
2023-10,Queens,2900,4266
2023-10,Bronx,2550,968
2023-10,Staten Island,2050,60
2023-11,Manhattan,4150,15604
2023-11,Brooklyn,3275,10413
2023-11,Queens,2900,4362
2023-11,Bronx,2550,903
2023-11,Staten Island,2200,62
2023-12,Manhattan,4150,13879
2023-12,Brooklyn,3250,9002
2023-12,Queens,2930,3774
2023-12,Bronx,2500,826
2023-12,Staten Island,2255,53
2024-01,Manhattan,4200,14692
2024-01,Brooklyn,3300,9701
2024-01,Queens,2850,4154
2024-01,Bronx,2595,917
2024-01,Staten Island,2595,66
2024-02,Manhattan,4267,13768
2024-02,Brooklyn,3325,9373
2024-02,Queens,2950,3937
2024-02,Bronx,2600,908
2024-02,Staten Island,2500,44
2024-03,Manhattan,4300,14209
2024-03,Brooklyn,3367,10011
2024-03,Queens,2995,4081
2024-03,Bronx,2600,956
2024-03,Staten Island,2500,47
2024-04,Manhattan,4400,15367
2024-04,Brooklyn,3483,9700
2024-04,Queens,3000,4024
2024-04,Bronx,2728,911
2024-04,Staten Island,2500,38
2024-05,Manhattan,4475,17699
2024-05,Brooklyn,3500,11993
2024-05,Queens,3000,4323
2024-05,Bronx,2871,972
2024-05,Staten Island,2700,42
2024-06,Manhattan,4400,18610
2024-06,Brooklyn,3525,12851
2024-06,Queens,3100,4420
2024-06,Bronx,2844,1026
2024-06,Staten Island,2700,37
2024-07,Manhattan,4400,20437
2024-07,Brooklyn,3595,14628
2024-07,Queens,3175,4931
2024-07,Bronx,2825,1134
2024-07,Staten Island,2550,51
2024-08,Manhattan,4395,19255
2024-08,Brooklyn,3600,14741
2024-08,Queens,3150,4727
2024-08,Bronx,2815,1102
2024-08,Staten Island,2700,54
2024-09,Manhattan,4300,16971
2024-09,Brooklyn,3548,13421
2024-09,Queens,3050,4625
2024-09,Bronx,2865,1036
2024-09,Staten Island,2850,53
2024-10,Manhattan,4295,15678
2024-10,Brooklyn,3500,12018
2024-10,Queens,3000,4836
2024-10,Bronx,2899,1052
2024-10,Staten Island,2750,61
2024-11,Manhattan,4200,13310
2024-11,Brooklyn,3437,10670
2024-11,Queens,3000,4566
2024-11,Bronx,2850,1010
2024-11,Staten Island,2700,49
2024-12,Manhattan,4300,11934
2024-12,Brooklyn,3395,9628
2024-12,Queens,3000,4110
2024-12,Bronx,2875,935
2024-12,Staten Island,2395,54
2025-01,Manhattan,4350,12527
2025-01,Brooklyn,3400,10344
2025-01,Queens,3000,4509
2025-01,Bronx,2813,1034
2025-01,Staten Island,2450,76
2025-02,Manhattan,4399,11507
2025-02,Brooklyn,3450,9457
2025-02,Queens,3000,4286
2025-02,Bronx,2717,975
2025-02,Staten Island,2750,73
2025-03,Manhattan,4425,13136
2025-03,Brooklyn,3500,10288
2025-03,Queens,3000,4692
2025-03,Bronx,2800,1092
2025-03,Staten Island,2825,74
2025-04,Manhattan,4500,14834
2025-04,Brooklyn,3599,10597
2025-04,Queens,3125,4700
2025-04,Bronx,2995,1134
2025-04,Staten Island,2800,59
2025-05,Manhattan,4595,16986
2025-05,Brooklyn,3600,12499
2025-05,Queens,3150,4758
2025-05,Bronx,3000,1104
2025-05,Staten Island,2750,46
2025-06,Manhattan,4725,17308
2025-06,Brooklyn,3750,13196
2025-06,Queens,3210,4642
2025-06,Bronx,3050,1046
2025-06,Staten Island,3125,71
2025-07,Manhattan,4750,18533
2025-07,Brooklyn,3800,14438
2025-07,Queens,3376,4662
2025-07,Bronx,3000,1025
2025-07,Staten Island,3000,63
2025-08,Manhattan,4750,17058
2025-08,Brooklyn,3825,14244
2025-08,Queens,3310,4493
2025-08,Bronx,3060,1024
2025-08,Staten Island,3000,68
2025-09,Manhattan,4625,15224
2025-09,Brooklyn,3800,13188
2025-09,Queens,3246,4570
2025-09,Bronx,3000,1207
2025-09,Staten Island,3000,67
2025-10,Manhattan,4600,14104
2025-10,Brooklyn,3750,11794
2025-10,Queens,3200,4664
2025-10,Bronx,3100,1328
2025-10,Staten Island,3200,52
2025-11,Manhattan,4510,12085
2025-11,Brooklyn,3662,10127
2025-11,Queens,3200,4238
2025-11,Bronx,3100,997
2025-11,Staten Island,3300,59
2025-12,Manhattan,4550,11290
2025-12,Brooklyn,3640,9551
2025-12,Queens,3200,3964
2025-12,Bronx,3060,902
2025-12,Staten Island,3300,54
2026-01,Manhattan,4596,12031
2026-01,Brooklyn,3629,9634
2026-01,Queens,3200,4135
2026-01,Bronx,2903,912
2026-01,Staten Island,2850,55
2026-02,Manhattan,4700,11484
2026-02,Brooklyn,3700,9145
2026-02,Queens,3150,3919
2026-02,Bronx,3050,932
2026-02,Staten Island,2890,43
2026-03,Manhattan,4750,13393
2026-03,Brooklyn,3750,10726
2026-03,Queens,3125,4333
2026-03,Bronx,2900,955
2026-03,Staten Island,2850,51
2026-04,Manhattan,4876,14236
2026-04,Brooklyn,3815,10716
2026-04,Queens,3200,4141
2026-04,Bronx,2900,894
2026-04,Staten Island,3265,51
2026-05,Manhattan,4926,15202
2026-05,Brooklyn,3895,11934
2026-05,Queens,3350,4273
2026-05,Bronx,2950,977
2026-05,Staten Island,3250,45
2026-06,Manhattan,4965,16538
2026-06,Brooklyn,3900,13491
2026-06,Queens,3350,4668
2026-06,Bronx,2995,1007
2026-06,Staten Island,3300,57
