neighborhood,zone,percent_damaged,centroid_lon,centroid_lat,polygon_wkt
Dahret Awwad,Inner,23.8411,37.190451567500055,36.20342276162506,"POLYGON((37.19307492300004 36.20529956200005,37.19352702100008 36.20037407700005,37.19276559300005 36.20042166600007,37.185984130000065 36.199279525000065,37.18631725400007 36.20401465300006,37.186364843000035 36.20568027500008,37.19250385300006 36.20701277300009,37.19307492300004 36.20529956200005))"
Tareeq al-Bab,Outer,19.7499,37.19830597741182,36.2067198915883,"POLYGON((37.20214067000006 36.211176830000056,37.203691192000065 36.20989184100006,37.20369134100008 36.20989184500007,37.20992150700005 36.20472849100008,37.20644749400009 36.20184934300005,37.20225964300005 36.201825548000045,37.194573984000044 36.20063581800008,37.193503226000075 36.19989818500005,37.19276559300005 36.20042166600007,37.19352702100008 36.20037407700005,37.19307492300004 36.20529956200005,37.19250385300006 36.20701277300009,37.18979126700009 36.21289004200008,37.19569210100008 36.21248270600006,37.195692128000076 36.21248260200008,37.199785003000045 36.212199998000074,37.20214067000006 36.211176830000056))"
Sha'ar,Inner,20.0,37.18506506275006,36.20791399425007,"POLYGON((37.186364843000035 36.20568027500008,37.18631725400007 36.20401465300006,37.17856021100005 36.20622755100004,37.17982132600008 36.20858321800006,37.18079690500008 36.21322316700008,37.18979126700009 36.21289004200008,37.19250385300006 36.20701277300009,37.186364843000035 36.20568027500008))"
Sakhur,Inner,13.1307,37.18361647378268,36.223212828869634,"POLYGON((37.18015211800008 36.23141319400008,37.182093758000065 36.23116573000004,37.182160810000084 36.23124057900009,37.190800600000046 36.23074800000006,37.191527851000046 36.22835655300008,37.19152827400006 36.22835653900006,37.19498303700004 36.21518588400005,37.19569210100008 36.21248270600006,37.18979126700009 36.21289004200008,37.186617813000055 36.21300765500007,37.18079690500008 36.21322316700008,37.18067793200004 36.21450807600007,37.18015445000009 36.21553124400009,37.178060524000045 36.216673385000036,37.18029721800008 36.21781552600004,37.17970235300004 36.22452560600004,37.17982132600008 36.22614364000009,37.17951199600009 36.22664332700003,37.179534698000055 36.227014126000086,37.17953853600005 36.227076826000086,37.179583379000064 36.22780926300004,37.17999983300007 36.23067080200008,37.18015211800008 36.23141319400008))"
Karam al-Jabal,Inner,45.7045,37.17421692923815,36.20902548971435,"POLYGON((37.18079690500008 36.21322316700008,37.17982132600008 36.20858321800006,37.17884574700008 36.20884495800004,37.17765601600007 36.20844045000007,37.17430097600004 36.20884495800004,37.174275916000056 36.208865923000076,37.17397790000007 36.208664200000044,37.17330240100006 36.20837530000006,37.17254898200008 36.20792854100006,37.17206870000007 36.20774790000007,37.17162590000004 36.20754180000006,37.171434300000044 36.207421500000066,37.17094040000006 36.20693030000007,37.170628100000044 36.20661460000008,37.17033573100008 36.20632726000008,37.17080316800008 36.20789317400005,37.17125526600006 36.20993951100007,37.17170736400004 36.21005848400006,37.171826337000084 36.21091509000007,37.17960717400007 36.21315178300006,37.18079690500008 36.21322316700008))"
Al `Urqub,Inner,36.3636,37.17315555835006,36.21535856065007,"POLYGON((37.169612518000065 36.21458430000007,37.16961740100004 36.21492550000005,37.169411515000036 36.215645289000065,37.16934840000005 36.21618440000009,37.169404255000074 36.21668230900008,37.16971950000004 36.21719920000004,37.17005459000006 36.21744465000006,37.17034096300006 36.21761984700004,37.173634727000035 36.21714927700009,37.17475307400008 36.21714927700009,37.176347313000065 36.217767937000076,37.178060524000045 36.216673385000036,37.18015445000009 36.21553124400009,37.18067793200004 36.21450807600007,37.18079690500008 36.21322316700008,37.17960717400007 36.21315178300006,37.171826337000084 36.21091509000007,37.17027968700006 36.21189066900007,37.16985138400008 36.21434151300008,37.169612518000065 36.21458430000007))"
Sulayman al Halabi,Inner,12.4654,37.169251668275066,36.21859666942507,"POLYGON((37.174086825000074 36.220313960000055,37.176347313000065 36.217767937000076,37.17475307400008 36.21714927700009,37.173634727000035 36.21714927700009,37.17034096300006 36.21761984700004,37.17005459000006 36.21744465000006,37.16971950000004 36.21719920000004,37.169404255000074 36.21668230900008,37.16934840000005 36.21618440000009,37.169411515000036 36.215645289000065,37.16961740100004 36.21492550000005,37.169612518000065 36.21458430000007,37.16839991300009 36.21581677900008,37.16832727800005 36.21640447400006,37.16827840000008 36.21645010000009,37.16773660000007 36.216796000000045,37.16732250000007 36.21716280000004,37.16701050000006 36.21763680000004,37.16672277500004 36.21761073600004,37.16675808500008 36.21772034800006,37.166971800000056 36.217994600000054,37.167054000000064 36.21825110000009,37.167106500000045 36.218507600000066,37.16720710000004 36.21884700000004,37.16731690000006 36.21901800000006,37.167354500000044 36.219193000000075,37.16752752600007 36.21954281300009,37.167738333000045 36.21994839100006,37.16787290000008 36.22019760000006,37.16789940000007 36.22040700000008,37.167954800000075 36.22059880000006,37.16807250000005 36.22071050000005,37.16815750000006 36.220952700000055,37.16826750000007 36.221205600000076,37.169307754000044 36.222340124000084,37.16953943800007 36.22228886500005,37.17018450900008 36.22214614500007,37.17140035300008 36.22170668900009,37.172159461000035 36.22143230700004,37.174086825000074 36.220313960000055))"
al Maydan,Inner,6.37755,37.166816969652224,36.21999448760876,"POLYGON((37.169307754000044 36.222340124000084,37.16826750000007 36.221205600000076,37.16815750000006 36.220952700000055,37.16807250000005 36.22071050000005,37.167954800000075 36.22059880000006,37.16789940000007 36.22040700000008,37.16787290000008 36.22019760000006,37.167738333000045 36.21994839100006,37.16752752600007 36.21954281300009,37.167354500000044 36.219193000000075,37.16731690000006 36.21901800000006,37.16720710000004 36.21884700000004,37.167106500000045 36.218507600000066,37.167054000000064 36.21825110000009,37.166971800000056 36.217994600000054,37.16675808500008 36.21772034800006,37.16416447200004 36.21831521300004,37.16402170500004 36.217863116000046,37.16323648200006 36.21810106200007,37.16161844900006 36.22231270800006,37.16437862400005 36.222764805000054,37.167495718000055 36.22274101100004,37.169307754000044 36.222340124000084))"
Qarliq,Inner,17.3077,37.176238181136426,36.20644775240915,"POLYGON((37.17856021100005 36.20622755100004,37.17821610000004 36.20552260000005,37.178018300000076 36.205236100000036,37.177742470000055 36.20492367300005,37.17685948700006 36.20434277900006,37.175014814000065 36.203129163000085,37.17469180300009 36.20346413800007,37.17403381500009 36.203057382000054,37.17387829100005 36.20384696700006,37.17399792500004 36.204385320000085,37.17347153600008 36.205593623000084,37.17254898200008 36.20792854100006,37.17330240100006 36.20837530000006,37.17397790000007 36.208664200000044,37.174275916000056 36.208865923000076,37.17430097600004 36.20884495800004,37.17765601600007 36.20844045000007,37.17884574700008 36.20884495800004,37.179618110000035 36.208637740000086,37.17984764800008 36.20870841800007,37.17982132600008 36.20858321800006,37.17856021100005 36.20622755100004))"
al Mishatiyah,Inner,18.9602,37.17119123738468,36.20644361461546,"POLYGON((37.17033573100008 36.20632726000008,37.170628100000044 36.20661460000008,37.17094040000006 36.20693030000007,37.171434300000044 36.207421500000066,37.17162590000004 36.20754180000006,37.17206870000007 36.20774790000007,37.17254898200008 36.20792854100006,37.17347153600008 36.205593623000084,37.17156935500009 36.204983490000075,37.17027730700005 36.20403838100009,37.16992276800005 36.206013400000074,37.17032727600008 36.20629893500006,37.17033573100008 36.20632726000008))"
Ibn Yaqoub,Inner,42.7027,37.16881445650006,36.2049463548334,"POLYGON((37.17027730700005 36.20403838100009,37.16739412800007 36.20379911300006,37.166710495000075 36.20553750800008,37.16830473400006 36.206251346000045,37.16992276800005 36.206013400000074,37.17027730700005 36.20403838100009))"
Qastal Mosht,Inner,48.8818,37.162951337642916,36.20538006207149,"POLYGON((37.16268920600004 36.20682241700007,37.16316509900008 36.20629893500006,37.163569607000056 36.20663206000006,37.166710495000075 36.20553750800008,37.16739412800007 36.20379911300006,37.16494163100003 36.20421783200004,37.162852704000045 36.204176876000076,37.162501097000074 36.204169979000085,37.16067069600007 36.20418194200005,37.16034207100006 36.20424766700006,37.160658700000056 36.20489672600007,37.16139666500004 36.20640944500008,37.161737422000044 36.20710795200006,37.16268920600004 36.20682241700007))"
Agyul,Inner,29.2365,37.165950106227335,36.20877672613643,"POLYGON((37.16697570000008 36.209746900000084,37.167594800000074 36.20942220000006,37.16774970000006 36.20923190000008,37.16782180100006 36.20893680000006,37.16784590800006 36.20816952000007,37.16782884200006 36.208131120000075,37.16830473400006 36.206251346000045,37.16676978800007 36.20556405700006,37.166710495000075 36.20553750800008,37.163569607000056 36.20663206000006,37.16447380200009 36.207726612000044,37.163117509000074 36.208511834000035,37.16304612500005 36.20898772600009,37.16359340200006 36.20917808300004,37.16364099100008 36.209606386000075,37.16549697000005 36.20951120800004,37.165169663000086 36.21084381500009,37.16551400000009 36.21074900000008,37.16582710100005 36.21054490000006,37.16624950000005 36.21013490000007,37.16662619900006 36.20992320000005,37.16697570000008 36.209746900000084))"
Almaji,Inner,46.0922,37.1627146198824,36.20822662382359,"POLYGON((37.16139666500004 36.20640944500008,37.160904611000035 36.20646549700007,37.160281147000035 36.20870085100006,37.159929032000036 36.20996330500009,37.16254643900004 36.21065334900004,37.16516384600004 36.21086750000006,37.16549697000005 36.20951120800004,37.16364099100008 36.209606386000075,37.16359340200006 36.20917808300004,37.16304612500005 36.20898772600009,37.163117509000074 36.208511834000035,37.16447380200009 36.207726612000044,37.163569607000056 36.20663206000006,37.16316509900008 36.20629893500006,37.16268920600004 36.20682241700007,37.161737422000044 36.20710795200006,37.16139666500004 36.20640944500008))"
Hamidiyeh,Inner,25.2525,37.16120224021433,36.212044758142916,"POLYGON((37.16516384600004 36.21277106900004,37.16516384600004 36.21086750000006,37.16254643900004 36.21065334900004,37.159929032000036 36.20996330500009,37.159572112000035 36.210581965000074,37.159619571000064 36.21172098200009,37.15961970200004 36.21172410600008,37.156336045000046 36.210486787000036,37.158263409000085 36.21450807600007,37.160567539000056 36.213453909000066,37.16057473600006 36.21345060600004,37.16190398400005 36.212842453000064,37.16240725600005 36.21283143800008,37.16516384600004 36.21277106900004))"
Al Hazzazeh,Inner,44.3804,37.15834599558339,36.20954599300007,"POLYGON((37.15935796100007 36.207988352000086,37.15724024100007 36.20722692500004,37.15581256400009 36.208916342000066,37.15632531000006 36.21045458000009,37.156336045000046 36.210486787000036,37.15641435100008 36.21051629300007,37.15961970200004 36.21172410600008,37.159572112000035 36.210581965000074,37.15990552100004 36.21000405800004,37.159929032000036 36.20996330500009,37.160281147000035 36.20870085100006,37.15935796100007 36.207988352000086))"
Beit Muhib / al Jdeydeh,Inner,55.8099,37.15795189366671,36.20706016875007,"POLYGON((37.160281147000035 36.20870085100006,37.160904611000035 36.20646549700007,37.16139666500004 36.20640944500008,37.16034207100006 36.20424766700006,37.15714149300004 36.20488778300006,37.15310982700004 36.20570129400005,37.15402796800004 36.20732210300008,37.15552702900004 36.20815491500008,37.15581256400009 36.208916342000066,37.15724024100007 36.20722692500004,37.15935796100007 36.207988352000086,37.160281147000035 36.20870085100006))"
