Title,Note,URL,Tags,Comment
Hôtel Massé,,https://www.google.com/maps/place/H%C3%B4tel+Mass%C3%A9/data=!4m2!3m1!1s0x47e66fa49b540ccb:0xfe1482baeb9e4daa,,
La Goulue New York,,https://www.google.com/maps/place/La+Goulue+New+York/data=!4m2!3m1!1s0x89c258efc7061191:0x4967cfbad5616243,,
Lévy Gorvy Dayan,,https://www.google.com/maps/place/L%C3%A9vy+Gorvy+Dayan/data=!4m2!3m1!1s0x89c258eb52d31b0b:0x6ecaeaa4ac44cca4,,
Church of Sweden,,https://www.google.com/maps/place/Church+of+Sweden/data=!4m2!3m1!1s0x89c258fe842650ad:0x4af3341591f8032f,,
Dim Sum Sam,,https://www.google.com/maps/place/Dim+Sum+Sam/data=!4m2!3m1!1s0x89c2597e7640f80d:0x18c56eb049965099,,
House of Cardoon,,https://www.google.com/maps/place/House+of+Cardoon/data=!4m2!3m1!1s0x808de7b7d457c89f:0x5d148dbbccf981e9,,
Joodooboo,,https://www.google.com/maps/place/Joodooboo/data=!4m2!3m1!1s0x80857f1d4794619b:0x435cb26d1b3b0b6f,,
MENSHO,,https://www.google.com/maps/place/MENSHO/data=!4m2!3m1!1s0x80857d65126c798d:0x86dc396e20083410,,
Alamo Drafthouse Cinema New Mission,,https://www.google.com/maps/place/Alamo+Drafthouse+Cinema+New+Mission/data=!4m2!3m1!1s0x808f7e3ece3f2317:0xd3499ccead022e57,,
Kin Khao,,https://www.google.com/maps/place/Kin+Khao/data=!4m2!3m1!1s0x8085808f6271f69f:0xadd8ad86b7096cdb,,
Bob's Donut & Pastry Shop,,https://www.google.com/maps/place/Bob's+Donut+%26+Pastry+Shop/data=!4m2!3m1!1s0x808580eb1f5de18f:0xd31cb7a2bea69e22,,
Swan Oyster Depot,,https://www.google.com/maps/place/Swan+Oyster+Depot/data=!4m2!3m1!1s0x8085809e8e89d111:0xe8ac4b9bfa4fbbd4,,
Sons & Daughters,,https://www.google.com/maps/place/Sons+%26+Daughters/data=!4m2!3m1!1s0x8085808c3ac875bd:0xb69a9d75abb1e87b,,
Li Po Cocktail Lounge,,https://www.google.com/maps/place/Li+Po+Cocktail+Lounge/data=!4m2!3m1!1s0x808580f4ae0a2af9:0xfaa5ec641935086c,,
Osso Steakhouse,,https://www.google.com/maps/place/Osso+Steakhouse/data=!4m2!3m1!1s0x808580928e524bb3:0xd661be8795b5ede9,,
Nob Hill Cafe,,https://www.google.com/maps/place/Nob+Hill+Cafe/data=!4m2!3m1!1s0x8085808d55437c5d:0xa80c119912112174,,
Seven Hills,,https://www.google.com/maps/place/Seven+Hills/data=!4m2!3m1!1s0x808580ec0b6a5473:0x3b90b19f3096695a,,
Del Popolo,,https://www.google.com/maps/place/Del+Popolo/data=!4m2!3m1!1s0x8085808dc2a02303:0x65859a8c13592c08,,
The House Of Shields,,https://www.google.com/maps/place/The+House+Of+Shields/data=!4m2!3m1!1s0x80858062a07fa93f:0x94ef3e221b1df369,,
Crustacean,,https://www.google.com/maps/place/Crustacean/data=!4m2!3m1!1s0x808581006541493d:0xc004962777331fad,,
Thanh Long Restaurant,,https://www.google.com/maps/place/Thanh+Long+Restaurant/data=!4m2!3m1!1s0x808587972836c929:0x16c9addcf0d90707,,
Zuni Café,,https://www.google.com/maps/place/Zuni+Caf%C3%A9/data=!4m2!3m1!1s0x8085809fabbdbb3b:0x9f78fd6bc9972489,,
Rintaro,,https://www.google.com/maps/place/Rintaro/data=!4m2!3m1!1s0x808f7e26791dc281:0xe147a1d9e33e11d4,,
Beit Rima,,https://www.google.com/maps/place/Beit+Rima/data=!4m2!3m1!1s0x808f7f2d106ad397:0x53b43392f9df6513,,
Jules,,https://www.google.com/maps/place/Jules/data=!4m2!3m1!1s0x808581006e78e8ef:0x96a1e702dd033405,,
Ferry Building,,https://www.google.com/maps/place/Ferry+Building/data=!4m2!3m1!1s0x808580668e8f3159:0x6cf7a313d6a53ec7,,
The Snug,,https://www.google.com/maps/place/The+Snug/data=!4m2!3m1!1s0x808580c60eeafefb:0x1adab0ac8f066e28,,
The Old Clam House,,https://www.google.com/maps/place/The+Old+Clam+House/data=!4m2!3m1!1s0x808f7e5479b4985d:0x921af9b8748f19b9,,
Tommy's Joynt,,https://www.google.com/maps/place/Tommy's+Joynt/data=!4m2!3m1!1s0x808580967f112a53:0x245af671133d8ee3,,
Grubstake Diner,,https://www.google.com/maps/place/Grubstake+Diner/data=!4m2!3m1!1s0x80858094e74fcae3:0x71a91d7e84f99922,,
House of Prime Rib,,https://www.google.com/maps/place/House+of+Prime+Rib/data=!4m2!3m1!1s0x808580ea69dcae83:0x3ef25abd292344d9,,
Bix,,https://www.google.com/maps/place/Bix/data=!4m2!3m1!1s0x808580f538199d0d:0xcba0a2e0fa5d9191,,
Kokkari Estiatorio,,https://www.google.com/maps/place/Kokkari+Estiatorio/data=!4m2!3m1!1s0x80858060747de94d:0xb3d399f14d2b6c40,,
The Buena Vista,,https://www.google.com/maps/place/The+Buena+Vista/data=!4m2!3m1!1s0x808f7e37f0d196f9:0xcf2a7b909a94bfc3,,
Greens Restaurant,,https://www.google.com/maps/place/Greens+Restaurant/data=!4m2!3m1!1s0x808580de5e80e771:0x50b7afb9582bbdba,,
Scoma's Restaurant,,https://www.google.com/maps/place/Scoma's+Restaurant/data=!4m2!3m1!1s0x808580fc871ec6ad:0x976bca61020dcc34,,
Taniku Izakaya,,https://www.google.com/maps/place/Taniku+Izakaya/data=!4m2!3m1!1s0x80858119ff3e7225:0x47fe67f0f2a1f7f2,,
Brenda's French Soul Food,,https://www.google.com/maps/place/Brenda's+French+Soul+Food/data=!4m2!3m1!1s0x808580974839db67:0xa78fa85ec6c57d21,,
Dingles Public House,,https://www.google.com/maps/place/Dingles+Public+House/data=!4m2!3m1!1s0x808581868de3ba2f:0x85cc12f740f2f07a,,
The Happy Crane,,https://www.google.com/maps/place/The+Happy+Crane/data=!4m2!3m1!1s0x808581003f2d11b7:0x6bd9634cb7622c8e,,
Go Duck Yourself 去你鸭的,,https://www.google.com/maps/place/Go+Duck+Yourself+%E5%8E%BB%E4%BD%A0%E9%B8%AD%E7%9A%84/data=!4m2!3m1!1s0x808f7f006a98841f:0x6512ddf73f6c38c4,,
Bourbon Steak Restaurant,,https://www.google.com/maps/place/Bourbon+Steak+Restaurant/data=!4m2!3m1!1s0x8085808ee76904e7:0xaf607ebccd9bc139,,
Sam Wo Restaurant,,https://www.google.com/maps/place/Sam+Wo+Restaurant/data=!4m2!3m1!1s0x8085808b53592629:0xccfb628983ec9e4b,,
Jerry's Roast Pork,,https://www.google.com/maps/place/Jerry's+Roast+Pork/data=!4m2!3m1!1s0x808581006908b09d:0x77951ed5002ed844,,
Arquet Restaurant,,https://www.google.com/maps/place/Arquet+Restaurant/data=!4m2!3m1!1s0x808581002761e319:0xb47cd44ca8af437b,,
Parachute Bakery,,https://www.google.com/maps/place/Parachute+Bakery/data=!4m2!3m1!1s0x8085810072558969:0xa10abffb19882e4,,
Botanik,,https://www.google.com/maps/place/Botanik/data=!4m2!3m1!1s0x80e90df9c2551483:0xd7343e976bd4ec7e,,
The Well,,https://www.google.com/maps/place/The+Well/data=!4m2!3m1!1s0x80e90de23e96a251:0x55d84d201c4a3f3,,
Godmothers,,https://www.google.com/maps/place/Godmothers/data=!4m2!3m1!1s0x80e90d9abf5bec0d:0x4cafd097f7a50865,,
Champers Social Club,,https://www.google.com/maps/place/Champers+Social+Club/data=!4m2!3m1!1s0x89c259e36aa1ee17:0xcd403ea3c9b959af,,
COQODAQ,,https://www.google.com/maps/place/COQODAQ/data=!4m2!3m1!1s0x89c259132267e8a7:0xb3666ec78c6251ab,,
